PLOTID,TREE_TAG,ASPECT_degree,DISTANCE_m,
VR33,661,6,3,
VR24N,1056,77,11,
VR43,681,18,,
VR33N,990,40,8.7,
VR26,63,32,2.5,
VR16N,71,40,7.3,
VR34,664,137,9.5,
VR25N,1016,2,6.4,
VR25,61,7,4.6,
VR26S,114,4,9.7,
VR16,788,13,9.8,
VR25S,137,6,10.8,
VR24,152,24,9.6,
VR30N,615,84,6.8,
VR30,613,6,10.6,
VR21,955,24,10.3,
VR12N,1149,56,8.3,
VR12,737,20,4,
VR3N,395,40,9.7,
VR40E,573,44,10,
VR40,544,42,6,
VR4N,357,54,12.3,witness tree outside plot lol
VR4,369,33,8.6,
VR13,762,30,1.8,
VR13N,1200,7,,
VR22,343,46,7.7,
VR31N,575,36,2.3,
VR31,966,55,,
VR20N,1241,9,,
VR29,923,6,8.8,
VR22N,1101,8,7,
